sub_catchment,very_high_correlation,high_correlation,medium_correlation,low_correlation,maximum_correlation,assigned_hazard
1-1,-0.594,-0.435,-0.324,-0.040,-0.040,Low
1-2,-0.379,-0.542,-0.515,-0.194,-0.194,Low
1-3,-0.155,-0.599,-0.626,-0.437,-0.155,Very high
1-4,-0.270,-0.496,-0.438,-0.330,-0.270,Very high
2-1,-0.158,-0.360,-0.432,-0.395,-0.158,Very high
2-2,-0.188,-0.407,-0.557,-0.364,-0.188,Very high
3-1,-0.264,-0.223,-0.274,-0.200,-0.200,Low
3-2,-0.170,-0.573,-0.611,-0.427,-0.170,Very high
4-1,-0.293,-0.314,-0.141,-0.294,-0.141,Medium
4-2,-0.198,-0.442,-0.286,-0.407,-0.198,Very high
5-1,-0.170,-0.383,-0.430,-0.239,-0.170,Very high
5-2,-0.363,-0.503,-0.552,-0.152,-0.152,Low
6-1,-0.276,-0.557,-0.325,-0.382,-0.276,Very high
6-2,-0.181,-0.329,-0.365,-0.250,-0.181,Very high
6-3,-0.345,-0.777,-0.741,-0.492,-0.345,Very high
7-1,0.036,-0.325,-0.316,-0.554,0.036,Very high
7-2,-0.272,-0.483,-0.549,-0.375,-0.272,Very high
7-3,-0.113,-0.696,-0.781,-0.584,-0.113,Very high

